state_name,year,ffs,assigned_lo,assigned_hi,n_suppressed,pen_lo,pen_hi
North Carolina,2016,1185183.0,247885.0,247885.0,0,20.915335437649713,20.915335437649713
North Dakota,2016,90018.0,16432.0,16432.0,0,18.2541269523873,18.2541269523873
Ohio,2016,1231290.0,357536.0,357536.0,0,29.037513502099426,29.037513502099426
Oklahoma,2016,530298.0,57231.0,57231.0,0,10.792233800617765,10.792233800617765
Oregon,2016,381233.0,17494.0,17494.0,0,4.588794779045886,4.588794779045886
Pennsylvania,2016,1364111.0,375179.0,375179.0,0,27.503553596444863,27.503553596444863
Rhode Island,2016,103996.0,32206.0,32206.0,0,30.96849878841494,30.96849878841494
South Carolina,2016,687198.0,128596.0,128596.0,0,18.713092878617225,18.713092878617225
South Dakota,2016,117176.0,16586.0,16586.0,0,14.154775721990852,14.154775721990852
Tennessee,2016,746122.0,134668.0,134668.0,0,18.04905900107489,18.04905900107489
Texas,2016,2222439.0,537391.0,537391.0,0,24.18023621795694,24.18023621795694
Utah,2016,202886.0,49266.0,49266.0,0,24.282602052384096,24.282602052384096
Vermont,2016,116615.0,53009.0,53009.0,0,45.45641641298289,45.45641641298289
Virginia,2016,1015425.0,306828.0,306828.0,0,30.216707290050962,30.216707290050962
Washington,2016,767431.0,127118.0,127118.0,0,16.564095013102154,16.564095013102154
West Virginia,2016,292211.0,38889.0,38889.0,0,13.308533901872277,13.308533901872277
Wisconsin,2016,606087.0,102595.0,102595.0,0,16.927437810083372,16.927437810083372
Wyoming,2016,89736.0,3440.0,3440.0,0,3.833467058928412,3.833467058928412
Alabama,2017,579332.0,42593.0,58803.0,1621,7.352088267176679,10.150138435301347
Alaska,2017,80901.0,3740.0,8610.0,487,4.622934203532713,10.64263729743761
Arizona,2017,657088.0,164946.0,178216.0,1327,25.102573780072074,27.122090191876886
Arkansas,2017,444843.0,92883.0,106483.0,1360,20.879950904026813,23.937209307553452
California,2017,2845247.0,356076.0,394666.0,3859,12.514765853368793,13.871062863786518
Colorado,2017,456708.0,125720.0,146680.0,2096,27.527435472993684,32.116801107053085
Connecticut,2017,408995.0,174954.0,183254.0,830,42.776562060660886,44.80592672282057
Delaware,2017,159656.0,84980.0,88410.0,343,53.22693791652052,55.37530690985619
District of Columbia,2017,59778.0,10140.0,11820.0,168,16.962762220214795,19.77316069456991
Florida,2017,2222673.0,551547.0,638867.0,8732,24.814581362170685,28.743184445035325
Georgia,2017,934137.0,270074.0,307714.0,3764,28.91160504294338,32.94099259530454
Hawaii,2017,108600.0,118.0,2958.0,284,0.10865561694290976,2.723756906077348
Idaho,2017,193238.0,8622.0,14672.0,605,4.461855328662065,7.592709508481769
Illinois,2017,1446656.0,529806.0,558396.0,2859,36.62280459210759,38.59908644487701
Indiana,2017,816443.0,261956.0,287656.0,2570,32.08503226802116,35.23283315552953
Iowa,2017,462030.0,143306.0,157496.0,1419,31.01660065363721,34.08782979460208
Kansas,2017,399263.0,107537.0,119857.0,1232,26.933875665914446,30.019561041218445
Kentucky,2017,583799.0,157486.0,177076.0,1959,26.976065392369634,30.331672373539522
Louisiana,2017,499753.0,132784.0,144344.0,1156,26.56992554321835,28.88306823570844
Maine,2017,210245.0,95749.0,104429.0,868,45.54163000309163,49.670146733572736
Maryland,2017,758405.0,277687.0,294387.0,1670,36.61460565265261,38.81659535472472
Massachusetts,2017,861256.0,266772.0,279912.0,1314,30.97476243997139,32.50044121608442
Michigan,2017,1158685.0,437215.0,473725.0,3651,37.73372400609311,40.884709821910185
Minnesota,2017,342843.0,64749.0,78169.0,1342,18.885904043541796,22.800232176243938
Mississippi,2017,455993.0,86030.0,97850.0,1182,18.866517687771523,21.45866274262982
Missouri,2017,729320.0,171410.0,193140.0,2173,23.50271485767564,26.482202599681894
Montana,2017,158973.0,25966.0,32436.0,647,16.333591238763816,20.40346473929535
Nebraska,2017,265882.0,122371.0,131231.0,886,46.02455224498085,49.356857553350736
Nevada,2017,269504.0,58291.0,64781.0,649,21.628992519591545,24.03712004274519
New Hampshire,2017,225488.0,80469.0,88129.0,766,35.686599730362595,39.083676293195204
New Jersey,2017,1052836.0,368121.0,388811.0,2069,34.96470485431729,36.92987321862094
New Mexico,2017,228159.0,19329.0,28299.0,897,8.471723666390544,12.40319251048611
New York,2017,1769970.0,528820.0,572960.0,4414,29.877342553828598,32.37117013282711
North Carolina,2017,1186319.0,397721.0,439011.0,4129,33.52563686495791,37.00615095939625
North Dakota,2017,93309.0,5745.0,9785.0,404,6.1569623508986275,10.48666259417634
Ohio,2017,1221336.0,395448.0,425728.0,3028,32.37831358446816,34.85756581317508
Oklahoma,2017,532303.0,73010.0,85900.0,1289,13.715872350897891,16.137425488866302
Oregon,2017,388396.0,21387.0,31347.0,996,5.506493372743282,8.070886414896137
Pennsylvania,2017,1354332.0,418224.0,452464.0,3424,30.880463579092865,33.408647215010795
Rhode Island,2017,94984.0,29542.0,32462.0,292,31.1020803503748,34.17628232123305
South Carolina,2017,690332.0,214238.0,237658.0,2342,31.034053180208943,34.42662371148955
South Dakota,2017,120729.0,15501.0,24851.0,935,12.839500037273563,20.584118148912026
Tennessee,2017,742461.0,146630.0,173470.0,2684,19.749185479102607,23.364190172951844
Texas,2017,2205833.0,593539.0,662369.0,6883,26.90770334834958,30.028066494607707
Utah,2017,205755.0,54951.0,60161.0,521,26.707005905081285,29.239143641709802
Vermont,2017,117186.0,60480.0,66490.0,601,51.610260611335825,56.7388595907361
Virginia,2017,1025527.0,267919.0,304619.0,3670,26.125006947647403,29.703654803822815
Washington,2017,781397.0,130659.0,145209.0,1455,16.72120573792835,18.583255374668703
West Virginia,2017,283163.0,54621.0,64811.0,1019,19.28959645151379,22.888230453837544
Wisconsin,2017,607014.0,88550.0,106440.0,1789,14.587801928785828,17.53501566685447
Wyoming,2017,92439.0,6298.0,11608.0,531,6.813141639351356,12.557470331786368
Alabama,2018,558242.0,110728.0,131238.0,2051,19.83512526825284,23.509159110206685
Alaska,2018,84714.0,5377.0,11417.0,604,6.347238945156644,13.477111221285737
Arizona,2018,674543.0,184410.0,200690.0,1628,27.33850918325444,29.751995054429443
Arkansas,2018,438753.0,138733.0,154813.0,1608,31.619840776017487,35.284772981609244
California,2018,2859639.0,374198.0,419318.0,4512,13.085497854799154,14.66331939101404
Colorado,2018,470889.0,90254.0,115934.0,2568,19.166725066841654,24.620239589372442
Connecticut,2018,349723.0,160901.0,169681.0,878,46.00812643149006,48.518684787674815
Delaware,2018,161419.0,84703.0,88973.0,427,52.47399624579511,55.11928583376182
District of Columbia,2018,59607.0,16904.0,18724.0,182,28.359085342325567,31.412418004596777
Florida,2018,2200541.0,751299.0,853759.0,10246,34.141558825761486,38.79768656889374
Georgia,2018,922694.0,298426.0,344936.0,4651,32.34290024645224,37.383574619538
Hawaii,2018,109802.0,94.0,3674.0,358,0.0856086410083605,3.346022841114005
Idaho,2018,197580.0,38201.0,46531.0,833,19.33444680635692,23.550460572932483
Illinois,2018,1443296.0,622134.0,657694.0,3556,43.105087244750905,45.5688923131499
Indiana,2018,798312.0,281118.0,311318.0,3020,35.21405164897935,38.99703374119392
Iowa,2018,459490.0,171409.0,188629.0,1722,37.304185074756795,41.05181832031165
Kansas,2018,402023.0,124571.0,138451.0,1388,30.98603811224731,34.4385768973417
Kentucky,2018,575920.0,157983.0,180833.0,2285,27.431414085289624,31.398979024864566
Louisiana,2018,492816.0,105693.0,119893.0,1420,21.44674685886822,24.32814681341515
Maine,2018,203921.0,107171.0,117241.0,1007,52.55515616341623,57.4933430102834
Maryland,2018,768524.0,293490.0,313810.0,2032,38.18878785828419,40.83281719243641
Massachusetts,2018,864096.0,150078.0,164898.0,1482,17.368209087879123,19.083296300411064
Michigan,2018,1107665.0,394975.0,437345.0,4237,35.658344355017086,39.48350810037331
Minnesota,2018,347019.0,73994.0,90324.0,1633,21.322751780161894,26.028545987395503
Mississippi,2018,454172.0,132665.0,149215.0,1655,29.210299181807773,32.854293087200446
Missouri,2018,718509.0,191927.0,218847.0,2692,26.71184355380378,30.458491125372124
Montana,2018,168791.0,27723.0,35603.0,788,16.424453910457313,21.092949268622142
Nebraska,2018,266105.0,120712.0,131202.0,1049,45.36254486011161,49.304597809135494
Nevada,2018,273913.0,81989.0,90099.0,811,29.932496814682032,32.893290935443005
New Hampshire,2018,225512.0,74808.0,83828.0,902,33.17251410124517,37.17230125226152
New Jersey,2018,1047848.0,377814.0,401664.0,2385,36.05618372130309,38.33227720051
New Mexico,2018,231511.0,33079.0,43889.0,1081,14.28830595522459,18.957630522955714
New York,2018,1755640.0,528521.0,578501.0,4998,30.10417853318448,32.95100362261056
North Carolina,2018,1161335.0,449615.0,498865.0,4925,38.715357756375205,42.95616682524853
North Dakota,2018,96376.0,7730.0,12500.0,477,8.020669046235577,12.970034033369304
Ohio,2018,1180107.0,427389.0,464169.0,3678,36.21612277530766,39.33278931486721
Oklahoma,2018,531805.0,139311.0,155521.0,1621,26.19588006882222,29.243989808294394
Oregon,2018,396895.0,15533.0,28373.0,1284,3.913629549377039,7.148742110633795
Pennsylvania,2018,1360968.0,521951.0,562201.0,4025,38.35145278948513,41.30890660177168
Rhode Island,2018,94086.0,28682.0,31962.0,328,30.48487553940012,33.97104776481092
South Carolina,2018,697120.0,298615.0,326635.0,2802,42.83552329584577,46.85491737434014
South Dakota,2018,125090.0,31602.0,42732.0,1113,25.26341034455192,34.16100407706451
Tennessee,2018,736308.0,219527.0,252767.0,3324,29.814561297717802,34.32897646093754
Texas,2018,2152365.0,648197.0,729097.0,8090,30.115570546817107,33.874226722698054
