year,fipstate,estab,emp
2018,40,2561,22574
2018,41,2339,29833
2018,42,8336,120277
2018,44,691,9417
2018,45,2456,32433
2018,46,268,5712
2018,47,4403,66794
2018,48,21979,200886
2018,49,2051,20449
2018,50,305,4775
2018,51,5230,67053
2018,53,3412,55120
2018,54,1061,11979
2018,55,2366,45381
2018,56,348,2772
2020,01,2808,37478
2020,02,516,5353
2020,04,5340,50078
2020,05,2163,22222
2020,06,32696,232451
2020,08,3182,32936
2020,09,3086,40264
2020,10,647,9565
2020,11,418,6524
2020,12,20908,213505
2020,13,7826,96967
2020,15,1054,7220
2020,16,1270,15503
2020,17,7732,100485
2020,18,3933,68440
2020,19,1160,21275
2020,20,1502,20803
2020,21,2921,38312
2020,22,3576,38692
2020,23,581,10651
2020,24,4349,53512
2020,25,3268,59979
2020,26,7025,92390
2020,27,1639,37780
2020,28,1587,18571
2020,29,3392,46051
2020,30,466,8033
2020,31,1026,16367
2020,32,2557,20987
2020,33,750,9491
2020,34,8526,84025
2020,35,973,10434
2020,36,14564,143875
2020,37,5576,83440
2020,38,180,4777
2020,39,6442,109001
2020,40,2542,23076
2020,41,2340,31189
2020,42,8154,124714
2020,44,627,9044
2020,45,2651,34962
2020,46,333,6747
2020,47,4501,70743
2020,48,22489,213989
2020,49,2195,21700
2020,50,299,5514
2020,51,5272,71776
2020,53,3402,56394
2020,54,1018,15330
2020,55,2777,51521
2020,56,344,2714
2022,01,2704,38005
2022,02,464,5184
2022,04,5035,51464
2022,05,1929,22794
2022,06,30594,235903
2022,08,3098,37518
2022,09,2946,41223
2022,10,600,9303
2022,11,389,4827
2022,12,20294,227639
2022,13,7400,100352
2022,15,962,7177
2022,16,1187,15685
2022,17,7204,104050
2022,18,3537,64694
2022,19,1061,22219
2022,20,1439,20057
2022,21,2739,39051
2022,22,3187,36426
2022,23,523,9820
2022,24,4005,50612
2022,25,2861,55023
2022,26,6672,87682
2022,27,1546,37392
2022,28,1453,17979
2022,29,3249,41549
2022,30,415,8602
2022,31,848,15160
2022,32,2544,20630
2022,33,687,9697
2022,34,7731,83302
2022,35,881,9966
2022,36,13371,142957
2022,37,5245,94613
2022,38,168,5274
2022,39,5874,108372
2022,40,2354,21931
2022,41,2061,32195
2022,42,7862,137031
2022,44,586,9010
2022,45,2528,35981
2022,46,332,6905
2022,47,4318,74727
2022,48,21555,215514
2022,49,2086,22460
2022,50,276,5177
2022,51,4915,71085
2022,53,3034,59691
2022,54,882,13888
2022,55,2805,52846
2022,56,320,2945
2023,01,2783,39416
2023,02,462,5221
2023,04,5309,54888
2023,05,1991,23143
2023,06,31778,241978
2023,08,3359,38332
2023,09,2826,51422
2023,10,624,9719
2023,11,382,4888
2023,12,21322,238618
2023,13,7590,100968
2023,15,934,7943
2023,16,1196,12415
2023,17,7503,109540
2023,18,3607,71294
2023,19,1099,23460
2023,20,1531,21203
2023,21,2833,40637
2023,22,3156,37209
2023,23,534,10086
2023,24,4091,52191
2023,25,2882,58753
2023,26,6747,92800
2023,27,1653,39842
2023,28,1514,19028
2023,29,3248,42523
2023,30,508,10105
2023,31,855,14975
2023,32,2688,22112
2023,33,714,10175
2023,34,7756,82376
2023,35,900,10066
2023,36,13386,154739
2023,37,5476,99859
2023,38,181,5278
2023,39,5838,109120
2023,40,2492,22696
2023,41,2175,31825
2023,42,8257,143556
2023,44,559,9130
2023,45,2639,39615
2023,46,341,7515
2023,47,4471,83537
2023,48,22601,222179
2023,49,2215,24129
2023,50,261,4885
2023,51,5133,74587
2023,53,3154,61358
2023,54,948,14061
2023,55,3227,63790
2023,56,337,2750
