state,year,deaths,percent_complete
OK,2015,722,100
OK,2016,803,100
OK,2017,770,100
OK,2018,703,100
OK,2019,618,100
OK,2020,746,100
OK,2021,934,100
OK,2022,1183,100
OK,2023,1258,100
OK,2024,1017,100
OK,2025,842,100
OR,2015,497,100
OR,2016,496,100
OR,2017,534,100
OR,2018,556,100
OR,2019,610,100
OR,2020,797,100
OR,2021,1181,100
OR,2022,1387,100
OR,2023,1851,100
OR,2024,1529,100
OR,2025,1029,100
PA,2015,3263,100
PA,2016,4648,100
PA,2017,5434,100
PA,2018,4415,100
PA,2019,4444,100
PA,2020,5178,100
PA,2021,5444,100
PA,2022,5212,100
PA,2023,4746,100
PA,2024,3360,100
PA,2025,2825,100
PR,2015,32,100
PR,2016,49,100
PR,2017,63,100
PR,2018,63,100
PR,2019,175,100
PR,2020,156,100
PR,2021,639,100
PR,2022,792,100
PR,2023,769,100
PR,2024,608,100
PR,2025,457,100
RI,2015,319,100
RI,2016,346,100
RI,2017,332,100
RI,2018,331,100
RI,2019,317,100
RI,2020,397,100
RI,2021,460,100
RI,2022,452,100
RI,2023,416,100
RI,2024,333,100
RI,2025,220,100
SC,2015,736,100
SC,2016,871,100
SC,2017,1001,100
SC,2018,1106,100
SC,2019,1131,100
SC,2020,1729,100
SC,2021,2166,100
SC,2022,2292,100
SC,2023,2153,100
SC,2024,1479,100
SC,2025,1332,100
SD,2015,62,100
SD,2016,69,100
SD,2017,75,100
SD,2018,57,100
SD,2019,88,100
SD,2020,74,100
SD,2021,101,100
SD,2022,84,100
SD,2023,84,100
SD,2024,89,100
SD,2025,91,100
TN,2015,1455,100
TN,2016,1643,100
TN,2017,1783,100
TN,2018,1837,100
TN,2019,2138,100
TN,2020,3090,100
TN,2021,3861,100
TN,2022,3862,100
TN,2023,3693,100
TN,2024,2555,100
TN,2025,2132,100
TX,2015,2579,100
TX,2016,2812,100
TX,2017,2950,100
TX,2018,2971,100
TX,2019,3123,100
TX,2020,4154,100
TX,2021,4912,100
TX,2022,5457,100
TX,2023,5727,100
TX,2024,5028,100
TX,2025,4413,100
US,2015,52623,100
US,2016,63938,100
US,2017,70699,100
US,2018,67850,100
US,2019,71130,100
US,2020,92478,100
US,2021,107573,100
US,2022,109413,100
US,2023,106881,100
US,2024,80860,100
US,2025,69384,100
UT,2015,649,100
UT,2016,650,100
UT,2017,645,100
UT,2018,630,100
UT,2019,575,100
UT,2020,622,100
UT,2021,675,100
UT,2022,646,100
UT,2023,698,100
UT,2024,691,100
UT,2025,674,100
VA,2015,1002,100
VA,2016,1356,100
VA,2017,1455,100
VA,2018,1434,100
VA,2019,1538,100
VA,2020,2185,100
VA,2021,2603,100
VA,2022,2491,100
VA,2023,2452,100
VA,2024,1547,100
VA,2025,1249,100
VT,2015,99,100
VT,2016,136,100
VT,2017,128,100
VT,2018,144,100
VT,2019,118,100
VT,2020,186,100
VT,2021,251,100
VT,2022,266,100
VT,2023,246,100
VT,2024,205,100
VT,2025,150,100
WA,2015,1109,100
WA,2016,1117,100
WA,2017,1168,100
WA,2018,1163,100
WA,2019,1251,100
WA,2020,1726,100
WA,2021,2264,100
WA,2022,2753,100
WA,2023,3512,100
WA,2024,3183,100
WA,2025,2962,100
WI,2015,873,100
WI,2016,1079,100
WI,2017,1177,100
WI,2018,1087,100
WI,2019,1200,100
WI,2020,1531,100
WI,2021,1759,100
WI,2022,1780,100
WI,2023,1744,100
WI,2024,1167,100
WI,2025,962,100
WV,2015,729,100
WV,2016,879,100
WV,2017,997,100
WV,2018,882,100
WV,2019,852,100
WV,2020,1331,100
WV,2021,1506,100
WV,2022,1318,100
WV,2023,1389,100
WV,2024,819,100
WV,2025,660,100
WY,2015,92,100
WY,2016,93,100
WY,2017,66,100
WY,2018,61,100
WY,2019,72,100
WY,2020,101,100
WY,2021,101,100
WY,2022,123,100
WY,2023,127,100
WY,2024,107,100
WY,2025,82,100
YC,2015,959,100
YC,2016,1424,100
YC,2017,1493,100
YC,2018,1482,100
YC,2019,1548,100
YC,2020,2131,100
YC,2021,2775,100
YC,2022,3142,100
YC,2023,3111,100
YC,2024,2254,100
YC,2025,1930,100
